file	percent	reads	taxon_id	taxon_name
m11_kaiju.out	23.5712	1328	2767877	Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Apilactobacillus
m11_kaiju.out	21.2105	1195	673534	Terrabacteria group; Actinobacteria; Actinomycetia; Micromonosporales; Micromonosporaceae; Plantactinospora
m11_kaiju.out	21.2105	1195	2631981	Terrabacteria group; Actinobacteria; Actinomycetia; Micromonosporales; Micromonosporaceae; unclassified Plantactinospora
m11_kaiju.out	10.3301	582	1301	Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
m11_kaiju.out	5.9105	333	1883	Terrabacteria group; Actinobacteria; Actinomycetia; Streptomycetales; Streptomycetaceae; Streptomyces
m11_kaiju.out	3.6386	205	32199	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Buchnera
m11_kaiju.out	3.4789	196	2593676	Terrabacteria group; Actinobacteria; Actinomycetia; Streptomycetales; Streptomycetaceae; unclassified Streptomyces
m11_kaiju.out	2.3607	133	1386	Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
m11_kaiju.out	2.2009	124	561	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
m11_kaiju.out	2.0589	116	1763	Terrabacteria group; Actinobacteria; Actinomycetia; Corynebacteriales; Mycobacteriaceae; Mycobacterium
m11_kaiju.out	2.0412	115	286	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
m11_kaiju.out	1.9879	112	32008	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia
